@relation 'smsspam-weka.filters.unsupervised.attribute.Remove-R1,5-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement'

@attribute numChars numeric
@attribute containsNumSequence {0,1}
@attribute containsCurrencySymbol {0,1}
@attribute percentUppercaseLetters numeric
@attribute containsURL {0,1}
@attribute numExclamationMark numeric
@attribute numAbbreviations numeric
@attribute class {ham,spam}

@data
146,0,0,0.060345,0,0,0,ham
84,0,0,0.061539,0,2,0,ham
99,0,0,0.038961,0,0,0,ham
73,0,0,0.016129,0,0,0,ham
77,0,0,0.04918,0,0,0,ham
119,0,0,0.021053,0,1,0,ham
29,0,0,0.086957,0,0,0,ham
31,0,0,0.074074,0,0,0,ham
159,0,0,0.007519,0,0,0,ham
24,0,0,0.1,0,0,0,ham
116,0,0,0.053192,0,1,0,ham
153,1,1,0.21875,0,0,0,spam
121,0,0,0.030928,0,0,0,ham
88,0,0,0.027027,0,0,0,ham
122,0,0,0.020408,0,0,0,ham
77,0,0,0.125,0,0,0,ham
69,0,0,0.018182,0,0,0,ham
159,1,1,0.165414,0,4,0,spam
141,1,0,0.058333,0,2,0,spam
147,1,0,0.090164,0,1,0,spam
34,0,0,0.035714,0,0,0,ham
37,0,0,0.032258,0,0,0,ham
151,0,0,0.163934,0,0,0,ham
33,0,0,0.038462,0,0,0,ham
24,0,0,0.05,0,0,0,ham
72,0,0,0.035088,0,0,0,ham
45,0,1,0.027778,0,0,0,spam
155,1,0,0.030303,0,1,0,spam
144,0,0,0,0,0,0,ham
160,1,1,0.122137,0,0,0,spam
24,0,0,0.052632,0,1,0,ham
134,0,0,0.081081,0,1,0,spam
112,0,0,0.044444,0,0,0,ham
74,0,0,0.032787,0,0,0,ham
50,0,0,0.04878,0,0,0,ham
93,1,0,0.220779,0,3,0,spam
152,1,1,0.229008,0,2,0,spam
56,0,0,0.044444,0,0,0,ham
22,0,0,0.058824,0,0,0,ham
77,0,0,0.016393,0,1,0,ham
79,0,0,0.032787,0,0,0,ham
39,0,0,0.03125,0,0,0,ham
56,0,0,0.020833,0,0,0,ham
76,0,0,0.016667,0,0,0,ham
63,0,0,0.018868,0,0,0,ham
42,0,0,0.058824,0,0,0,ham
22,0,0,0.055556,0,0,0,ham
69,0,0,0.035088,0,0,0,ham
47,0,0,0.02439,0,0,0,ham
30,0,0,0.041667,0,0,0,ham
70,0,1,0.067797,0,0,0,ham
56,0,0,0.043478,0,0,0,ham
101,1,0,0.044444,1,0,0,spam
51,0,0,0.02381,0,0,0,ham
25,0,0,0.1,0,0,0,ham
97,0,0,0.08,0,0,0,ham
147,0,0,0.052632,0,2,0,ham
159,1,0,0.177778,0,2,0,spam
