@relation smsspam-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement

@attribute class {ham,spam}
@attribute numChars numeric
@attribute containsNumSequence {0,1}
@attribute containsCurrencySymbol {0,1}
@attribute numBuzzwords numeric
@attribute percentUppercaseLetters numeric

@data
ham,146,0,0,0,0.060345
ham,84,0,0,0,0.061539
ham,99,0,0,0,0.038961
ham,73,0,0,0,0.016129
ham,77,0,0,0,0.04918
ham,119,0,0,0,0.021053
ham,29,0,0,0,0.086957
ham,31,0,0,0,0.074074
ham,159,0,0,0,0.007519
ham,24,0,0,0,0.1
ham,116,0,0,0,0.053192
spam,153,1,1,1,0.21875
ham,121,0,0,0,0.030928
ham,88,0,0,0,0.027027
ham,122,0,0,0,0.020408
ham,77,0,0,0,0.125
ham,69,0,0,0,0.018182
spam,159,1,1,2,0.165414
spam,141,1,0,1,0.058333
spam,147,1,0,5,0.090164
ham,34,0,0,0,0.035714
ham,37,0,0,0,0.032258
ham,151,0,0,1,0.163934
ham,33,0,0,0,0.038462
ham,24,0,0,0,0.05
ham,72,0,0,0,0.035088
spam,45,0,1,4,0.027778
spam,155,1,0,1,0.030303
ham,144,0,0,0,0
spam,160,1,1,3,0.122137
ham,24,0,0,0,0.052632
spam,134,0,0,2,0.081081
ham,112,0,0,1,0.044444
ham,74,0,0,0,0.032787
ham,50,0,0,0,0.04878
spam,93,1,0,1,0.220779
spam,152,1,1,3,0.229008
ham,56,0,0,2,0.044444
ham,22,0,0,0,0.058824
ham,77,0,0,0,0.016393
ham,79,0,0,0,0.032787
ham,39,0,0,0,0.03125
ham,56,0,0,0,0.020833
ham,76,0,0,0,0.016667
ham,63,0,0,0,0.018868
ham,42,0,0,0,0.058824
ham,22,0,0,0,0.055556
ham,69,0,0,1,0.035088
ham,47,0,0,0,0.02439
ham,30,0,0,0,0.041667
ham,70,0,1,0,0.067797
ham,56,0,0,0,0.043478
spam,101,1,0,0,0.044444
ham,51,0,0,1,0.02381
ham,25,0,0,0,0.1
ham,97,0,0,0,0.08
ham,147,0,0,0,0.052632
spam,159,1,0,4,0.177778
ham,158,0,0,0,0.962121
ham,22,0,0,0,0.055556
ham,42,0,0,0,0.9
ham,121,0,0,0,0.942857
ham,26,0,0,0,0
ham,63,0,0,0,0.039216
ham,244,0,0,2,0.020101
spam,135,1,0,1,0.126126
ham,28,0,0,0,0.043478
ham,44,0,0,0,0.027027
spam,159,1,1,3,0.19708
ham,34,0,0,0,0.037037
ham,38,0,0,0,0.096774
ham,42,0,0,0,0.028571
ham,68,0,0,0,0.928571
ham,51,0,0,1,0.04878
ham,75,0,0,0,0.016667
ham,66,0,0,0,0.056604
ham,26,0,0,0,0.043478
spam,159,1,0,3,0.3125
ham,18,0,0,0,0.066667
ham,138,0,0,1,0.035714
ham,59,0,0,0,0.06
ham,95,0,0,1,0.052632
ham,126,0,0,2,0.166667
ham,28,0,0,0,0.086957
ham,38,0,0,0,0
ham,35,0,0,0,0.066667
ham,70,0,0,1,0.052632
ham,149,0,0,2,0.008696
ham,60,0,0,0,0.04
ham,37,0,0,0,0.030303
ham,49,0,0,0,0
spam,158,1,0,4,0.155039
